content,label
Shop không uy tín sản phẩm không đúng mô tả!,tiêu cực
Dịch vụ chăm sóc khách hàng tệ không giải quyết vấn đề!,tiêu cực
Sản phẩm này không đáng tiền rất thất vọng!,tiêu cực
Hàng giả không chính hãng cảm giác bị lừa!,tiêu cực
Giao hàng chậm sản phẩm lỗi không hài lòng!,tiêu cực
Sản phẩm kém chất lượng không như kỳ vọng!,tiêu cực
Mua về mà không dùng được quá thất vọng!,tiêu cực
Giá đắt mà chất lượng kém không đáng mua!,tiêu cực
Shop giao sai sản phẩm thái độ phục vụ tệ!,tiêu cực
Sản phẩm này không bền dùng vài lần là hỏng!,tiêu cực
Hàng không đúng mô tả rất thất vọng không mua nữa!,tiêu cực
Dịch vụ giao hàng tệ sản phẩm bị móp méo!,tiêu cực
Sản phẩm này không tốt tôi rất thất vọng!,tiêu cực
Mua về mà không dùng được cảm giác phí tiền!,tiêu cực
Shop không hỗ trợ đổi trả sản phẩm lỗi rất tệ!,tiêu cực
Hàng kém chất lượng không như quảng cáo thất vọng!,tiêu cực
Giao hàng chậm sản phẩm không đúng không hài lòng!,tiêu cực
Sản phẩm này quá tệ không đáng mua rất thất vọng!,tiêu cực
Chất lượng kém giá lại cao không đáng tiền!,tiêu cực
Shop giao hàng chậm sản phẩm lỗi không hài lòng!,tiêu cực
Sản phẩm không giống hình rất thất vọng không mua nữa!,tiêu cực
Dịch vụ tệ sản phẩm kém không đáng để mua!,tiêu cực
Sản phẩm này không bền dùng vài ngày là hỏng thất vọng!,tiêu cực
Hàng không đúng mô tả cảm giác bị lừa rất tệ!,tiêu cực
Giao hàng chậm sản phẩm bị hỏng không hài lòng!,tiêu cực
Sản phẩm kém chất lượng không như kỳ vọng thất vọng!,tiêu cực
Mua về mà không dùng được quá thất vọng không mua nữa!,tiêu cực
Giá đắt mà chất lượng kém không đáng mua rất tệ!,tiêu cực
Shop giao sai sản phẩm thái độ phục vụ tệ không hài lòng!,tiêu cực
Sản phẩm này không bền dùng vài lần là hỏng thất vọng!,tiêu cực
Hàng không đúng mô tả rất thất vọng không mua nữa!,tiêu cực
Dịch vụ giao hàng tệ sản phẩm bị móp méo không hài lòng!,tiêu cực
Sản phẩm này không tốt tôi rất thất vọng không mua nữa!,tiêu cực
Mua về mà không dùng được cảm giác phí tiền rất tệ!,tiêu cực
Shop không hỗ trợ đổi trả sản phẩm lỗi rất thất vọng!,tiêu cực
Hàng kém chất lượng không như quảng cáo không hài lòng!,tiêu cực
Giao hàng chậm sản phẩm không đúng rất thất vọng!,tiêu cực
Sản phẩm này quá tệ không đáng mua không hài lòng!,tiêu cực
Chất lượng kém giá lại cao không đáng tiền thất vọng!,tiêu cực
Shop giao hàng chậm sản phẩm lỗi không hài lòng rất tệ!,tiêu cực
Sản phẩm không giống hình rất thất vọng không mua nữa!,tiêu cực
Dịch vụ tệ sản phẩm kém không đáng để mua thất vọng!,tiêu cực
Sản phẩm này không bền dùng vài ngày là hỏng không hài lòng!,tiêu cực
Hàng không đúng mô tả cảm giác bị lừa rất thất vọng!,tiêu cực
Giao hàng chậm sản phẩm bị hỏng không hài lòng rất tệ!,tiêu cực
Sản phẩm kém chất lượng không như kỳ vọng không mua nữa!,tiêu cực
Mua về mà không dùng được quá thất vọng rất thất vọng!,tiêu cực
Giá đắt mà chất lượng kém không đáng mua không hài lòng!,tiêu cực
Shop giao sai sản phẩm thái độ phục vụ tệ rất thất vọng!,tiêu cực
Sản phẩm này không bền dùng vài lần là hỏng không hài lòng!,tiêu cực
Hàng không đúng mô tả rất thất vọng không mua nữa rất tệ!,tiêu cực
Dịch vụ giao hàng tệ sản phẩm bị móp méo không hài lòng!,tiêu cực
Sản phẩm này không tốt tôi rất thất vọng không mua nữa!,tiêu cực
Mua về mà không dùng được cảm giác phí tiền rất thất vọng!,tiêu cực
Shop không hỗ trợ đổi trả sản phẩm lỗi rất thất vọng không hài lòng!,tiêu cực
Hàng kém chất lượng không như quảng cáo không hài lòng rất tệ!,tiêu cực
Giao hàng chậm sản phẩm không đúng rất thất vọng không mua nữa!,tiêu cực
Sản phẩm này quá tệ không đáng mua không hài lòng rất thất vọng!,tiêu cực
Chất lượng kém giá lại cao không đáng tiền không hài lòng!,tiêu cực
Shop giao hàng chậm sản phẩm lỗi không hài lòng rất thất vọng!,tiêu cực
Sản phẩm không giống hình rất thất vọng không mua nữa không hài lòng!,tiêu cực
Dịch vụ tệ sản phẩm kém không đáng để mua rất thất vọng!,tiêu cực
Sản phẩm này không bền dùng vài ngày là hỏng không hài lòng rất tệ!,tiêu cực
Hàng không đúng mô tả cảm giác bị lừa rất thất vọng không mua nữa!,tiêu cực
Giao hàng chậm sản phẩm bị hỏng không hài lòng rất thất vọng!,tiêu cực
Sản phẩm kém chất lượng không như kỳ vọng không mua nữa rất tệ!,tiêu cực
Mua về mà không dùng được quá thất vọng rất thất vọng không hài lòng!,tiêu cực
Giá đắt mà chất lượng kém không đáng mua không hài lòng rất thất vọng!,tiêu cực
Shop giao sai sản phẩm thái độ phục vụ tệ rất thất vọng không mua nữa!,tiêu cực
Sản phẩm này không bền dùng vài lần là hỏng không hài lòng rất thất vọng!,tiêu cực
Hàng không đúng mô tả rất thất vọng không mua nữa không hài lòng rất tệ!,tiêu cực
Dịch vụ giao hàng tệ sản phẩm bị móp méo không hài lòng rất thất vọng!,tiêu cực
Sản phẩm này không tốt tôi rất thất vọng không mua nữa không hài lòng!,tiêu cực
Mua về mà không dùng được cảm giác phí tiền rất thất vọng rất tệ!,tiêu cực
Shop không hỗ trợ đổi trả sản phẩm lỗi rất thất vọng không hài lòng rất tệ!,tiêu cực
Hàng kém chất lượng không như quảng cáo không hài lòng rất thất vọng không mua nữa!,tiêu cực
Giao hàng chậm sản phẩm không đúng rất thất vọng không mua nữa không hài lòng!,tiêu cực
Sản phẩm này quá tệ không đáng mua không hài lòng rất thất vọng không mua nữa!,tiêu cực
Chất lượng kém giá lại cao không đáng tiền không hài lòng rất thất vọng rất tệ!,tiêu cực
Shop giao hàng chậm sản phẩm lỗi không hài lòng rất thất vọng không mua nữa rất tệ!,tiêu cực
Sản phẩm không giống hình rất thất vọng không mua nữa không hài lòng rất thất vọng!,tiêu cực
Dịch vụ tệ sản phẩm kém không đáng để mua rất thất vọng không mua nữa không hài lòng!,tiêu cực
"Chán lắm, không thích",tiêu cực
Mất cả hứng,tiêu cực
"Không được hay cho lắm, hôm sau mua shop khác",tiêu cực
"Hmmmmmm, tệ lắm",tiêu cực
Đóng gói chưa được tốt cho lắm,tiêu cực
Sách bị rách,tiêu cực
"Ngu lắm, không mua lại đâu",tiêu cực
Tác giả đang viết cái quái gì vậy,tiêu cực
Không hay,tiêu cực
Không được như kì vọng,tiêu cực
"Không thể tin được, quá tệ",tiêu cực
